"1567820 | "8
"123072 | "8
"92510 | "8
"1831609 | "5
"131652 | "8
"1661600 | "8
"31492 | "6
"31490 | "8
"1569541 | "8
"50454 | "3
"44975 | "8
"1602230 | "2
"2159242 | "6
"47253 | "8
"108532 | "8
"66238 | "4
"27610 | "2
"66545 | "8
"1591529 | "7
"88292 | "8
"1618805 | "8
"1762943 | "8
"1762940 | "5
"77248 | "8
"1731442 | "2
"1633264 | "7
"24745 | "8
"160840 | "8
"24749 | "8
"129234 | "7
"2155632 | "3
"1655169 | "7
"28675 | "1
"35783 | "8
"1283375 | "3
"74916 | "8
"1703112 | "8
"1544092 | "8
"2036028 | "3
"4761 | "7
"4760 | "8
"1521920 | "8
"174824 | "3
"1521926 | "2
"96405 | "5
"146657 | "8
"163082 | "2
"1704140 | "8
"83959 | "8
"93174 | "6
"104235 | "8
"75345 | "8
"19748 | "7
"150345 | "3
"51328 | "2
"5801 | "8
"16023 | "8
"32265 | "7
"19746 | "6
"64794 | "8
"153691 | "8
"116809 | "6
"116374 | "8
"100918 | "4
"116372 | "6
"1577606 | "8
"145037 | "8
"1514064 | "8
"90854 | "2
"25360 | "5
"1530450 | "8
"1530452 | "4
"93399 | "3
"104584 | "8
"121918 | "8
"1718680 | "8
"32341 | "7
"1676548 | "5
"2233642 | "1
"155445 | "1
"65227 | "8
"1272479 | "8
"27218 | "2
"1274869 | "8
"2233649 | "1
"86843 | "8
"164537 | "7
"25508 | "8
"36349 | "8
"2117556 | "2
"107586 | "4
"85468 | "8
"139273 | "7
"128399 | "8
"1790963 | "8
"1811744 | "8
"1698813 | "7
"1749847 | "1
"1528738 | "8
"1585570 | "8
"1593528 | "3
"1250748 | "1
"116891 | "4
"1647649 | "3
"1253218 | "8
"149372 | "7
"1742753 | "8
"1230014 | "8
"91591 | "8
"93820 | "6
"1825793 | "8
"1483854 | "8
"39825 | "5
"33156 | "8
"105826 | "8
"141802 | "1
"52145 | "8
"1296916 | "8
"97497 | "8
"1234660 | "3
"1189801 | "8
"1657615 | "8
"1657613 | "8
"90145 | "8
"121002 | "8
"42990 | "8
"1294201 | "8
"113151 | "8
"71149 | "5
"147957 | "7
"1728111 | "8
"1728110 | "8
"1684809 | "8
"1537483 | "8
"45612 | "5
"1620923 | "8
"20596 | "8
"1317753 | "8
"20598 | "7
"1734241 | "8
"1218968 | "2
"2143093 | "4
"1491729 | "2
"86460 | "8
"159690 | "8
"1280869 | "3
"26857 | "7
"85412 | "8
"1760315 | "7
"95940 | "8
"1760316 | "8
"1547253 | "8
"1653428 | "8
"2209491 | "5
"116858 | "8
"1548979 | "8
"30171 | "5
"80856 | "8
"132408 | "8
"2107116 | "8
"157206 | "8
"38700 | "7
"2060648 | "6
"136811 | "8
"136816 | "8
"1514932 | "7
"2208011 | "5
"113873 | "8
"1381549 | "8
"172398 | "8
"1707445 | "6
"1285896 | "8
"39878 | "2
"1639640 | "8
"2142808 | "7
"1749271 | "8
"1749270 | "8
"1541707 | "8
"1724416 | "8
"116184 | "8
"1278198 | "5
"33975 | "8
"108412 | "2
"108411 | "8
"152591 | "5
"20337 | "4
"27453 | "2
"1517372 | "4
"1696414 | "5
"2148320 | "5
"1616001 | "5
"30379 | "8
"67550 | "6
"67553 | "8
"115054 | "4
"111002 | "8
"59990 | "7
"66687 | "8
"66930 | "8
"89027 | "8
"1910614 | "8
"114899 | "8
"152598 | "8
"31536 | "7
"2233328 | "1
"1805312 | "8
"170397 | "8
"132510 | "8
"1517417 | "8
"1580635 | "8
"103031 | "6
"1517418 | "8
"1517419 | "8
"181128 | "8
"1215387 | "5
"67333 | "6
"97507 | "3
"34857 | "8
"23735 | "8
"84043 | "2
"1312364 | "8
"1635939 | "8
"169215 | "3
"1347928 | "8
"1720919 | "7
"2038768 | "8
"169211 | "3
"2088761 | "2
"103975 | "5
"113474 | "5
"87418 | "8
"1280675 | "8
"114043 | "6
